X_Start,Y_Start,X_End,Y_end,Z,Power,meanLineIntensity,varLineIntensity,meanNumPixels15,varNumPixels15,meanNumPixels30,varNumPixels30,meanNumPixels60,varNumPixels60,meanNumPixels90,varNumPixels90,meanNumPixels120,varNumPixels120,medianMLength15,varMLength15,medianMLength30,varMLength30,medianMLength60,varMLength60,medianMLength90,varMLength90,medianMLength120,varMLength120,Overhang,Wall
0,2.3,1.5,2.3,1.35,180,2277708.03370787,7199028525.53294,9208.25842696629,1006024.44382022,3017.38202247191,405450.466036772,1603.7191011236,95475.4315628192,1040.91011235955,25878.1963738509,780.696629213483,12085.3955566905,93,308.952247191011,66,246.790347293156,39,123.710163432074,31,37.117722165475,27,21.1368743615935,0,0
0,2.35,1.5,2.35,1.35,180,2180609.21348315,11616908556.8744,8819.68539325843,815675.558988764,2326.86516853933,133520.163432074,1055.02247191011,19131.3403983657,712.910112359551,10411.4236465781,570.449438202247,6770.77298263534,83,255.414708886619,60,107.799795709908,36,20.7591930541369,29,13.7913687436159,26,8.32379979570991,0,0
0,2.4,1.5,2.4,1.35,180,2099280.41573034,6687768423.74566,7819.5393258427,1482437.97854954,1872.05617977528,198956.530898876,997.202247191011,39072.3677221655,722.47191011236,13027.1838610827,585.685393258427,6594.89989785495,72,193.527068437181,48,61.0051072522983,32,19.9027068437181,27,6.95556690500511,23,4.44101123595506,0,0
0,2.45,1.5,2.45,1.35,180,2176528.03370787,8731091769.23749,8302.79775280899,607126.958631256,2018.48314606742,50989.9116445352,1132.30337078652,8343.32737487232,858.606741573034,5226.49131767109,682.910112359551,5100.44637385087,80,136.817160367722,56,73.2602145045965,35,16.3626149131767,29,10.5707354443309,26,7.2170582226762,0,0
0,2.5,1.5,2.5,1.35,180,2103975.02247191,3826355191.20403,7812.25842696629,621960.648365679,1841.49438202247,39122.2982635342,822.876404494382,11939.4731869254,588.977528089888,3328.74948927477,470.426966292135,2075.38381001021,72,154.995658835546,57,65.2262512768131,35,42.9144535240041,29,12.7551072522983,26,3.26072522982635,0,0
0,2.55,1.5,2.55,1.35,180,2095029.15730337,10697871941.0886,7602.65168539326,1702011.68411645,1571.78651685393,449265.601634321,800.303370786517,101267.463738509,561.269662921348,27916.5173646578,448.067415730337,10530.154494382,72,143.820990806946,53,81.1011235955056,33,58.3738508682329,28,15.199948927477,24,7.27808988764045,0,0
0,2.6,1.5,2.6,1.35,180,2072215.88764045,7850851499.19178,7366.11235955056,1315602.48723187,1423.58426966292,99859.5638406537,714.438202247191,8213.27170582227,534.044943820225,2799.79341164454,438.247191011236,1527.5291113381,70,131.70480081716,56,60.8592951991828,34,9.87282941777324,28,4.02170582226762,25,1.69637385086823,0,0
0,2.65,1.5,2.65,1.35,180,2171731.46067416,2411757488.91037,8928.04494382022,558239.952502554,1789.29213483146,101815.822778345,873.47191011236,21615.4793156282,658.550561797753,7308.79570990807,541.696629213483,3398.87282941777,71,196.79519918284,59,123.414453524004,36,19.811797752809,30,6.54519918283963,26,5.27502553626149,0,0
0,2.7,1.5,2.7,1.35,180,2163045.95505618,5926476853.86159,8223.85393258427,1138410.17160368,1794.29213483146,191262.163687436,868.247191011236,22204.5518386108,643.337078651685,8187.61235955056,530.820224719101,4785.67185903984,84,532.342185903983,65,284.286772216547,40,31.3626149131767,31,11.8572522982635,28,7.04519918283963,0,0
0,2.75,1.5,2.75,1.35,180,2216118.50561798,8784926420.6619,8428.62921348315,1326240.39504597,2164.76404494382,189692.864147089,1052.62921348315,30808.4859550562,776.573033707865,10990.1565372829,635.786516853933,6124.96527068437,83,541.991828396323,67,358.382277834525,43,43.9943820224719,34,10.3975995914198,30,4.93615934627171,0,0
0,2.8,1.5,2.8,1.35,180,2304827.61797753,12562464820.0569,9660.25842696629,3374779.85291113,2710.6404494382,408970.164708887,1246.67415730337,37624.0858018386,883.325842696629,12316.222165475,715.898876404494,6764.93283963228,82,723.988508682329,68,406.66164453524,43,33.1585801838611,34,9.05362614913177,30,4.67671092951992,0,0
0,2.85,1.5,2.85,1.35,180,2294613.98876404,3318311551.92033,8685.19101123595,697046.610827375,2623.70786516854,171675.618232891,1281.79775280899,34912.2768130746,924.224719101124,11655.3807456588,742.977528089888,5515.09039836568,102,746.716036772217,72,639.670326864147,46,63.5173646578141,36,17.570480081716,31,10.3884065372829,0,0
0,2.9,1.5,2.9,1.35,180,2261259.24719101,9737853738.37002,7812.38202247191,1352571.96603677,2669.94382022472,437974.258171604,1445.78651685393,38283.3970888662,1028.34831460674,13114.2750255363,817.494382022472,10819.5255362615,84,478.034729315628,69,396.864913176711,46,39.7446373850868,36,10.2313585291113,31,5.02170582226762,0,0
0,2.95,1.5,2.95,1.35,180,2339272.56179775,6557865956.36262,8767.20224719101,1122483.73135853,3001.69662921348,304036.577374872,1582.83146067416,56763.164453524,1156.77528089888,29465.6762002043,942.292134831461,18353.845505618,88,547.570990806946,66,567.491317671093,45,73.9519918283963,35,27.1690500510725,30,16.2282941777324,0,0
0,3,1.5,3,1.35,180,2289638.08988764,6111434235.56001,8462.57303370787,1488720.92926456,2926.70786516854,462299.368232891,1562.83146067416,84226.0508171604,1070.24719101124,25245.0518386108,829.123595505618,11314.9050051073,85,796.306690500511,70,554.436925434116,44,64.3135852911134,34,12.7867722165475,29,6.70403472931563,0,0
0,3.05,1.5,3.05,1.35,180,2195320.14606742,7588284565.53524,7742.51685393258,647764.502553626,2294.74157303371,138541.352911134,1173.94382022472,29052.3263534219,836.651685393258,8645.61593462717,675.85393258427,7043.1488764045,77,416.314096016343,67,298.267620020429,39,35.7681307456588,31,4.31562819203269,27,2.44994892747702,0,0
0,3.1,1.5,3.1,1.35,170.703125,2107706.87640449,4365553427.63228,7415.12359550562,1431637.72318693,1968.95505617978,303634.520684372,1000.01123595506,35901.4430541369,691.730337078652,4524.38100102145,556.696629213483,2195.57737487232,77,395.523237997957,64,305.468590398366,38,92.7949438202247,30,21.4731869254341,26,11.7025025536261,0,0
0,3.15,1.5,3.15,1.35,170.703125,2122695.75280899,11260111982.8246,7778.33707865169,742502.885086823,1825.66292134831,157404.998723187,914.449438202247,61253.9548008172,657.157303370787,22239.4749744637,530.325842696629,11662.7676200204,87,288.440500510725,58,205.286772216547,34,20.0398365679265,27,15.2522982635342,24,14.1095505617978,0,0
0,3.2,1.5,3.2,1.35,161.40625,2138494.11235955,9748450792.73723,8499.8202247191,815738.899131767,2054.94382022472,114084.508171604,1113.96629213483,31881.9420326864,867.685393258427,17133.8317160368,711.044943820225,10080.5661389173,93,155.668283963228,68,70.9685903983657,52,72.9994892747702,46,59.2448927477017,41,45.0201736465781,0,0
